Inverted Checker Board;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Row\Col;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;Number of bad pixels in Row
59;100;204;100;204;100;205;99;206;99;207;101;206;100;205;100;204;100;205;100;205;100;204;99;203;99;204;99;205;98;205;99;205;98;206;100;205;99;204;99;204;98;205;99;204;98;204;98;203;99;205;99;205;101;203;100;204;99;205;100;206;98;205;99;205;102;206;99;206;101;205;100;205;99;204;99;204;99;205;99;205;100;206;99;206;100;205;100;205;101;204;100;206;101;206;102;205;99;204;100;205;101;205;99;205;99;204;100;205;99;205;99;205;0
60;205;99;206;100;205;101;205;101;205;99;205;100;205;99;205;100;205;99;206;99;206;100;205;100;204;100;205;99;204;98;205;99;205;99;205;100;204;100;205;99;205;100;204;100;204;99;204;99;204;100;204;99;205;100;205;99;204;99;206;99;205;100;205;98;204;100;206;100;204;99;206;99;205;99;203;100;203;100;204;99;204;99;204;98;205;99;204;101;206;99;205;99;206;99;206;100;204;99;206;100;205;98;206;99;205;100;205;100;206;100;205;100;0
61;99;205;98;205;99;206;98;206;100;205;99;205;101;205;99;205;99;204;100;204;99;206;99;204;100;204;99;204;100;205;100;204;99;204;100;205;99;204;100;205;100;204;101;205;99;204;99;204;100;206;99;205;100;205;100;205;100;204;101;204;99;205;99;204;99;205;100;205;100;204;101;205;100;204;100;203;99;205;98;204;100;206;100;206;100;205;100;204;100;205;99;205;99;206;101;205;100;205;100;205;99;206;100;205;98;205;99;205;100;206;99;206;0
62;206;100;205;99;206;100;206;99;205;100;206;99;205;99;205;100;206;98;205;99;206;100;205;100;205;99;204;100;204;100;204;101;205;99;204;99;205;99;204;100;203;100;204;99;203;99;204;100;204;101;203;99;205;100;205;99;204;99;206;100;206;99;206;100;204;100;204;100;204;97;205;99;204;99;205;99;204;99;204;99;207;100;205;100;205;99;205;99;207;100;205;100;205;101;205;100;205;99;205;100;206;99;205;99;205;99;205;100;207;99;206;99;0
63;100;206;101;205;99;206;101;205;99;205;100;204;101;204;99;205;99;206;99;204;100;205;99;204;98;205;99;204;101;205;99;204;98;204;98;205;99;204;100;204;99;204;101;205;98;205;99;205;100;204;98;205;100;203;102;204;99;205;100;203;98;205;98;206;99;205;100;204;100;204;99;204;100;204;98;205;98;204;99;205;100;206;100;205;100;205;99;206;100;205;99;205;101;206;100;205;100;204;99;206;98;205;98;206;101;206;100;207;100;207;100;207;0
64;205;99;204;98;206;99;206;101;206;101;206;101;206;100;205;100;206;100;206;101;206;101;205;101;203;99;204;100;205;99;205;99;204;99;204;100;205;99;204;100;204;99;205;98;204;98;206;99;203;100;204;99;203;101;203;100;204;100;206;100;204;99;204;100;205;100;204;99;203;99;204;99;205;99;204;99;205;99;204;100;205;100;205;101;205;100;206;100;206;100;205;98;205;101;206;100;205;98;204;101;205;100;205;100;205;99;206;99;206;99;206;100;0
65;99;205;100;204;98;205;100;205;100;205;99;205;99;205;100;204;99;204;100;205;100;205;100;205;100;205;99;204;100;205;99;204;99;205;100;204;100;205;100;205;101;205;100;206;100;205;100;205;100;205;100;205;100;205;99;205;99;205;100;205;99;205;101;205;98;204;98;205;99;203;98;205;100;203;99;206;98;205;100;205;102;206;100;206;99;206;100;206;100;206;100;206;99;207;100;205;99;206;101;205;100;206;100;206;100;205;99;206;99;206;101;206;0
66;206;101;205;101;206;100;206;100;206;100;206;100;206;99;204;99;205;101;205;100;204;101;205;100;205;99;205;100;206;99;206;100;205;99;205;100;205;100;206;99;205;99;205;100;204;100;205;100;205;99;205;101;206;98;205;98;204;99;205;99;204;100;205;99;204;100;205;99;205;99;205;99;204;99;205;101;203;99;205;100;204;99;206;100;205;99;206;99;205;101;206;101;206;100;205;100;205;100;205;99;205;99;206;100;204;99;204;100;205;99;205;98;0
67;100;205;101;206;99;206;99;205;99;204;100;205;99;205;98;205;100;205;100;204;99;206;99;205;99;203;100;204;98;205;99;204;99;205;101;205;99;204;98;204;100;204;100;204;99;204;100;204;100;205;100;204;101;205;99;204;99;203;99;204;99;204;99;204;100;205;99;204;99;205;100;205;99;205;99;204;100;205;100;205;98;205;99;205;101;205;99;205;99;205;100;206;101;206;98;205;99;206;100;205;99;206;100;206;100;206;101;205;100;206;100;206;0
68;206;100;205;100;205;100;205;101;206;100;206;99;207;100;205;100;205;99;206;102;206;100;205;100;205;99;206;99;205;99;205;99;205;101;204;99;204;100;205;100;205;101;205;100;206;101;205;100;204;100;204;101;204;100;205;99;204;101;205;99;205;100;205;101;206;100;205;100;204;100;205;101;205;99;205;97;205;100;204;99;206;98;205;99;205;99;206;101;204;100;205;100;205;100;206;101;205;99;207;101;206;101;205;99;206;101;205;99;207;100;206;100;0
69;99;206;101;205;100;205;99;205;99;206;100;205;100;205;99;205;99;205;100;204;100;204;98;204;100;204;100;204;99;206;99;206;100;208;100;205;99;205;101;204;100;205;99;205;99;205;101;204;99;205;99;205;100;205;99;204;100;205;101;205;101;206;100;205;100;204;101;205;99;206;100;205;99;205;101;204;100;204;100;206;99;205;98;207;99;205;98;204;99;205;99;205;100;204;100;206;100;205;99;207;100;205;99;205;101;206;100;205;100;206;100;206;0
70;206;101;207;99;206;101;206;100;204;99;205;99;205;98;204;100;205;100;205;100;204;99;205;101;205;101;206;100;206;101;206;100;205;100;205;101;205;100;205;99;205;100;204;99;205;99;204;99;204;100;204;100;204;99;205;100;204;99;206;100;205;99;205;101;205;100;205;100;204;100;205;100;205;99;205;98;204;99;205;100;206;101;205;99;204;99;205;98;204;99;204;100;206;99;205;100;205;98;205;98;204;99;206;100;204;100;206;101;206;101;207;100;0
71;100;206;99;207;101;206;102;207;99;206;101;205;99;205;100;205;99;205;100;205;99;205;100;205;100;204;100;205;99;205;99;206;101;206;100;207;100;205;101;205;99;204;99;203;99;205;99;205;100;206;99;206;100;205;101;204;98;204;99;205;100;206;100;206;100;206;99;206;99;206;100;205;101;205;101;205;99;205;100;206;99;207;99;206;100;205;99;206;100;206;100;205;99;206;101;205;99;205;100;206;101;206;101;206;99;205;99;207;101;206;100;206;0
72;206;99;205;100;205;99;206;100;206;101;207;99;205;100;204;99;205;100;206;101;205;99;206;100;204;100;206;100;205;98;205;99;206;101;206;101;207;100;206;100;205;100;205;99;205;100;204;98;204;99;204;101;204;100;204;100;205;100;206;100;206;100;206;100;204;100;205;100;204;101;205;99;205;100;206;102;204;99;205;99;205;100;206;100;206;100;205;98;205;101;205;100;206;100;205;99;204;100;205;99;205;100;205;100;207;100;207;99;206;100;207;100;0
73;99;206;101;206;99;206;100;205;98;206;98;205;100;205;100;205;100;204;100;205;100;205;100;204;99;206;100;206;100;205;99;206;100;205;101;204;100;205;98;205;101;205;99;206;101;206;101;205;99;204;100;205;99;204;100;206;100;205;99;205;99;205;100;206;99;204;98;205;99;205;100;205;101;205;99;204;101;205;99;206;100;207;100;205;100;205;100;205;99;204;100;205;100;204;99;205;100;206;100;205;100;206;100;206;101;207;100;206;100;206;100;206;0
74;205;100;206;99;206;100;207;100;205;100;206;100;206;99;206;98;205;101;205;99;206;99;206;100;205;99;205;100;206;99;206;100;204;99;205;100;205;101;204;100;204;100;205;100;205;99;206;100;204;100;205;100;203;99;205;101;204;100;204;100;206;99;205;99;206;99;207;101;205;102;206;99;206;99;205;101;205;100;206;100;205;100;205;100;206;100;207;99;205;100;207;100;206;99;206;100;206;101;205;100;206;98;205;100;207;100;206;99;206;101;205;100;0
75;100;206;98;205;99;206;99;205;100;204;99;204;99;206;100;205;99;205;100;205;100;205;99;205;99;204;99;205;99;206;99;204;99;206;100;206;100;206;99;204;99;204;100;206;99;204;99;206;100;204;101;205;99;205;99;205;100;205;100;205;101;206;100;205;99;204;100;206;99;204;100;205;101;206;99;206;100;205;100;205;100;205;99;205;99;206;101;206;100;205;99;206;99;206;99;205;99;206;100;206;100;205;99;205;100;205;100;206;101;204;100;206;0
76;205;99;206;99;206;100;208;100;207;99;206;100;206;100;206;100;205;99;206;99;205;99;205;100;204;99;205;99;204;100;206;101;205;100;206;100;205;99;204;99;205;99;204;100;204;98;205;101;204;100;205;100;205;98;205;99;205;99;206;98;205;98;207;98;205;99;206;99;203;99;204;99;205;99;204;100;206;99;205;100;205;101;206;100;206;99;207;98;206;100;206;101;207;100;207;100;205;99;205;100;206;100;206;100;206;98;206;101;206;100;208;100;0
77;100;205;99;206;98;205;99;205;98;205;100;206;100;206;100;206;102;206;101;205;101;206;101;206;99;205;98;204;98;206;99;205;100;206;99;205;99;205;100;205;99;205;101;205;99;205;99;205;101;205;100;205;100;206;100;205;99;205;99;205;100;205;98;205;99;204;99;204;98;204;99;203;100;205;99;207;100;205;100;206;100;206;100;206;99;206;101;206;101;204;99;206;101;206;100;206;101;206;99;206;99;205;100;206;101;206;100;205;101;208;101;205;0
78;206;100;207;100;206;101;207;101;204;99;207;99;207;100;206;99;204;99;205;101;206;100;205;100;206;99;205;99;205;99;206;99;207;100;206;100;206;100;206;99;204;99;205;101;205;98;204;100;204;100;205;99;206;100;205;100;205;99;205;98;206;100;206;100;207;100;206;100;205;99;206;100;205;99;204;99;204;99;205;99;205;99;206;100;207;100;206;100;207;100;205;99;204;100;206;99;206;99;205;100;207;99;207;99;206;100;205;99;206;99;206;100;0
79;100;206;100;205;100;206;100;206;98;205;99;204;99;205;100;205;98;205;100;206;100;206;101;205;99;205;100;205;101;205;99;205;99;206;99;205;100;206;99;205;101;205;100;204;99;205;100;205;102;206;99;205;99;205;100;204;101;205;100;206;101;206;100;205;99;204;100;205;100;205;99;206;100;204;100;205;99;204;100;207;99;206;100;205;100;206;100;206;99;206;101;205;100;205;100;205;99;205;101;206;101;207;100;206;101;207;100;207;101;208;100;208;0
80;205;99;204;99;204;100;206;99;205;100;206;101;206;100;206;99;206;100;207;100;206;100;207;101;204;101;205;99;205;100;206;100;207;101;205;99;205;99;205;99;205;101;205;100;206;99;205;100;206;99;205;100;205;100;206;99;207;99;206;100;205;99;206;99;207;100;205;100;205;99;205;101;207;99;206;100;204;100;206;100;205;101;207;99;205;99;206;99;205;100;206;99;205;100;206;102;206;101;206;101;206;100;206;99;206;98;204;100;205;100;206;99;0
81;99;205;101;205;100;205;99;207;100;206;101;206;101;207;101;205;99;206;99;206;100;206;100;205;101;204;100;206;101;206;100;204;99;207;100;206;101;205;100;206;98;206;100;205;98;206;101;206;100;205;99;204;100;205;100;205;99;205;100;206;99;206;100;206;100;207;99;206;101;205;101;205;99;205;101;205;99;205;100;206;100;206;99;207;100;205;99;206;99;205;101;205;99;205;98;205;99;207;101;206;99;205;100;205;99;206;99;206;98;206;100;207;0
82;206;101;205;99;206;100;208;100;207;99;207;100;206;100;205;99;205;100;204;100;207;100;206;101;205;100;205;99;206;99;205;100;206;99;205;100;207;100;205;99;205;99;206;99;206;99;205;100;206;99;205;99;205;100;205;99;204;100;205;100;206;99;207;99;206;100;205;99;205;98;206;99;205;100;206;100;206;101;205;101;206;100;207;100;207;100;205;100;206;100;205;101;206;100;205;100;205;99;205;100;206;99;205;100;206;99;208;101;208;100;207;100;0
83;99;206;99;205;99;206;101;206;100;206;101;206;101;208;100;206;101;206;101;206;100;208;100;206;99;206;99;205;98;205;99;204;100;206;102;207;101;205;100;206;99;206;99;205;100;206;98;204;99;205;99;207;100;206;99;205;101;205;99;207;99;206;99;205;99;205;100;207;101;206;100;207;100;205;100;206;100;205;101;206;100;206;99;206;99;206;99;206;100;207;99;206;101;206;101;206;100;206;100;207;100;206;100;205;99;205;100;206;99;206;100;206;0
84;206;100;206;101;206;100;205;99;205;100;207;99;205;100;206;99;206;99;206;100;205;99;206;100;205;99;205;100;206;100;206;101;207;99;206;100;206;100;207;100;206;100;205;99;206;100;206;100;205;101;204;99;206;100;206;100;207;101;206;100;208;98;207;101;206;100;204;99;206;100;205;99;207;99;205;100;206;99;205;100;205;99;206;100;206;100;206;100;207;101;207;100;207;100;207;100;206;100;207;100;204;99;205;99;207;100;207;100;207;99;208;100;0
85;100;206;101;206;99;205;100;205;100;206;100;206;100;206;99;207;99;206;100;206;100;205;101;206;100;206;99;207;99;206;100;207;100;206;100;206;100;206;100;205;100;206;99;203;100;206;100;204;99;205;99;206;99;205;99;204;98;206;101;207;99;207;100;206;99;206;99;206;98;206;100;206;100;206;100;206;100;206;99;207;100;206;99;206;100;206;99;206;100;206;101;206;100;206;101;207;99;207;99;206;99;206;100;206;101;208;100;207;100;208;100;208;0
86;208;101;206;100;205;101;206;101;206;100;206;100;206;99;206;99;206;99;206;100;206;100;206;101;205;99;207;99;207;100;206;100;205;99;206;99;205;101;206;100;205;100;205;100;205;100;206;101;206;100;206;100;206;100;205;99;206;99;206;99;205;99;207;98;207;100;206;100;206;100;205;99;206;100;206;100;206;98;206;100;205;99;206;99;206;99;206;99;207;100;206;101;207;100;206;99;206;100;207;99;206;100;206;99;207;101;207;99;207;99;207;101;0
87;102;208;100;207;99;207;101;208;99;206;99;206;100;206;100;207;99;206;100;206;100;206;101;206;99;205;99;206;100;206;100;205;100;207;99;207;100;207;100;205;100;207;100;205;100;206;100;206;99;207;99;206;100;206;100;206;99;205;101;205;100;205;99;206;100;206;99;206;99;207;99;205;99;206;99;206;98;206;100;206;100;207;100;207;99;206;100;206;100;207;99;206;99;206;100;206;99;205;99;207;101;206;99;207;100;208;100;206;100;207;101;206;0
88;206;100;206;100;206;101;208;100;207;100;207;100;207;101;206;100;205;98;206;99;206;99;206;99;206;100;205;100;206;98;205;100;205;100;204;99;206;99;206;98;208;100;206;100;207;100;207;100;206;99;205;99;204;101;206;98;205;99;206;99;206;99;207;99;205;100;206;100;205;100;206;99;205;98;206;101;204;100;206;98;206;99;208;99;206;100;207;101;205;100;205;100;206;100;206;99;207;99;206;101;205;100;207;100;208;99;207;99;206;99;207;99;0
Num of bad pixels in cols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Number of deadpixels;0;Limit less than;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Number of deadpixels in finger detect zones;0;Limit less than;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Median for type1;100;Min;50;Max;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Median for type2;205;Min;150;Max;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Average for type1;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Average for type2;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max type1 deviation;3;Limit;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max type2 deviation;4;Limit;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Result;Pass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
